joe_issue_ID,jp_id,jp_section,jp_institution,jp_division,jp_department,jp_keywords,jp_title,jp_full_text,jp_salary_range,jp_agency_insertion_num,locations,JEL_Classifications,Application_deadline,Date_Active
2025-02,111476050,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Haverford College,,Economics,"Macroeconomics
Applied Microeconomics
Labor Economics
Health Economics
Industrial Organization
Public Economics
Political Economy
Economics of Education
Urban Economics
",Assistant Professor of Economics,"Haverford College invites applications for two tenure-track Assistant Professor positions in Economics, with specializations in macroeconomics and empirical microeconomics. The appointments begin in fall 2026. Successful candidates must: have a PhD by July 1, 2026; demonstrate an independent and productive research program with the potential to involve undergraduates; teach effectively at all levels of the curriculum; mentor diverse students in their research activities; show interest in and support of diversity initiatives within the economics department; and contribute to a collegial, inclusive, and active economics community. Candidates with teaching/research interests that contribute to our interdisciplinary programs will be viewed positively.

Applicants should submit their dossier via Interfolio by October 27, 2025, including: a cover letter; a CV; a statement on research (2-3 pages); a statement of teaching interests, philosophy, and experience (1-2 pages); a statement demonstrating commitment to fostering a diverse and inclusive campus culture (1-2 pages); a writing sample; and three confidential letters of recommendation. In the cover letter, please indicate which position you are applying for, or whether you wish to be considered for both positions.

More information is available at https://www.haverford.edu/provost/available-positions.",,,UNITED STATES Pennsylvania Haverford,"E0 - General
H0 - General
I0 - General
J0 - General
G0 - General
K0 - General
L0 - General
P0 - General
Q0 - General
R0 - General
F4 - Macroeconomic Aspects of International Trade and Finance",2025-10-27 00:00:00,2025-08-15 00:00:00
2025-02,111476225,"International: Full-Time Academic (Permanent, Tenure Track or Tenured)",HEC Montreal,Business School,International Business,"International Business
International Economics
Economic Geography
Global Studies
Sustainable and inclusive economic development in diverse national and international contexts",Faculty Positions - International Business ,"The Department of International Business at HEC Montréal is seeking to recruit one or more professors in international business, depending on the department's needs, with expertise and interest in major global issues and the transformations of economic, social, and institutional dynamics. The committee is particularly interested in candidates whose research addresses, among other topics, international trade, global governance, the management and strategy of multinational enterprises, innovation and globalization, local/regional and national economic development, as well as new themes related to sustainable and inclusive economic development in diverse national and international contexts.

The Department seeks primarily to recruit at the rank of Assistant Professor, ideally a recent PhD graduate or a candidate close to completing a doctorate in international business or a related field (e.g., economics, geography, political science), while remaining open to exceptional applications at other academic ranks. Responsibilities of the selected candidates include teaching at the undergraduate and graduate levels, as well as advancing a research program in international business.

Further information and application process here: https://tre.tbe.taleo.net/tre01/ats/careers/v2/viewRequisition?org=NYQEDG&cws=43&rid=1230",,,CANADA Quebec Montreal,"F2 - International Factor Movements and International Business
F1 - Trade
F6 - Economic Impacts of Globalization",2025-10-15 00:00:00,2025-09-16 00:00:00
2025-02,111476001,"International: Full-Time Academic (Permanent, Tenure Track or Tenured)",Hertie School,,,"International Economics
Economics
International Macroeconomics
Trade
Industrial Policy
Berlin",Professor of International Economics,"The Hertie School, the University of Governance in Berlin and the Kiel Institute for the World Economy (IfW Kiel)are recruiting a Professor of International Economics (gn).

The Hertie School and the IfW Kiel are jointly recruiting a Professor of International Economics. The ideal candidate has an established research record in international macro, trade, and/or industrial policy. This person should combine state-of-the-art empirical, policy-relevant research with an excellent international network, and would probably be an Associate or Full Professor currently at another university.

The successful candidate will be appointed as S-Professor at the Hertie School, with a secondment to the new Berlin-branch of the Kiel Institute for the World Economy (IfW Kiel). Advanced candidates will be appointed with a short tenure period or with tenure. The starting date is flexible and subject to negotiations, with the earliest start date February 1, 2026.

We seek faculty with demonstrated capacity for research at the highest levels in their discipline, through a record of publications in top outlets. Candidates should enjoy working in an interdisciplinary, international environment with English as the language of instruction and operation. The successful candidate will have the opportunity to teach in the School’s Master, Executive, and PhD programmes, including at the PhD level in the Berlin School of Economics.

We recruit faculty who will create a climate that embraces excellence and diversity with a strong commitment to high-quality teaching and innovative research of interest to the international scholarly community and policy-makers.

We offer an internationally competitive salary as well as a paid sabbatical after every five semesters, and we provide excellent working conditions with outstanding financial and administrative support for research. 

The Hertie School and the new IfW Kiel branch are fully embedded in Berlin’s vibrant research landscape and both institutions have close ties to the top institutions of the European and international research community.

The Hertie School and the IfW Kiel value diversity and welcome all applications – irrespective of gender, nationality, ethnic or social origin, religion/belief, disability, age, or sexual orientation. We expressly encourage women and/or persons from ethnic groups underrepresented in Academia to apply. Equally qualified applicants with recognized disabilities will be given preference. The Hertie School and the IfW Kiel take a family friendly workplace seriously. Under German law, there is standard paid leave for parents after the birth or adoption of a child.

The deadline for submission is 30 September 2025 to be certain to be considered, but late submissions can be accepted as well. Applications must include a letter of motivation, a current curriculum vitae (including publication list, degrees earned, positions held, teaching experience, research projects, awards received), and teaching evaluations. Application documents are accepted via the online application tool only: https://apply.interfolio.com/169770.

For questions about the position, please contact Professor Mark Hallerberg (Dean-of-Research-and-Faculty@hertie-school.org) at the Hertie School or Professor Dr. Sonja Peterson (Sonja.Peterson@ifw-kiel.de) at IfW Kiel.

Strict confidentiality in the application process is assured. The Hertie School and the IfW Kiel are equal opportunity employers.",competitive,,GERMANY Berlin Berlin,"F - International Economics
E - Macroeconomics and Monetary Economics
00 - 00 - Default: Any Field",2025-09-30 00:00:00,2025-08-01 00:00:00
2025-02,111476076,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",High Point University,Phillips School of Business,Economics,"Economics Generalist
Private Enterprise
Labor Economics
Economic Growth",Assistant Professor of Economics,"High Point University invites applications for one permanent full-time position in Economics at the Phillips School of Business (PSB), beginning August 2026. The position is promotion path. Rank and salary are dependent on qualifications. High Point University is a private liberal arts institution with growing undergraduate and graduate student enrollment and expanding academic programs.

Required qualifications: PhD or ABD in Economics. Fields are open, with a preference for an Economic Generalist, with an interest in teaching Private Enterprise, Labor Economics, or Economic Growth. Preferred skills include familiarity with generative AI, machine learning, and automation. Applicants must be committed to quality teaching and have a well-defined research agenda, preferably with at least one peer-reviewed publication. Responsibilities include teaching undergraduate courses in microeconomics, macroeconomics, and elective courses.

Collaboration with faculty on curriculum and program development, service to the school and university, and scholarly research are expected. We embrace a broad range of theoretical and methodological perspectives, values collaborative research across divisions and specializations.

Applicants should send the following electronically: a letter of application, curriculum vitae, statement of teaching philosophy, teaching evaluations if applicable, outline of research agenda, three letters of reference, job market paper if applicable, and unofficial copies of graduate transcripts.
",Dependent on qualifications,,UNITED STATES North Carolina High Point,00 - 00 - Default: Any Field,2025-12-01 00:00:00,2025-08-20 00:00:00
2025-02,111476228,"International: Full-Time Academic (Permanent, Tenure Track or Tenured)",Hitotsubashi University,,Institute of Economic Research,"Comparative Economics
Development Economics
Econometrics
Economic History
Financial Economics
Health Economics
Industrial Organization
International Trade
Labor Economics
Macroeconomics
Microeconomic Theory
Political Economy
Population Economics
Public Economics
Spatial Economics
Urban Economics",Full Professor; Associate Professor; Assistant Professor,"Institute of Economic Research, Hitotsubashi University invites applications for full-time, open-rank, tenure-line positions beginning July 1, 2026. We welcome outstanding candidates in all areas of economics. We have up to four open positions.

The successful candidate will be expected to pursue excellent scholarship, teach courses related to the candidates' research field, supervise M.A. and Ph.D. students and contribute to the overall academic environment of the Institute of Economic Research and the university. The working language is English or Japanese (Japanese language skills are preferred but not required). The successful candidate must have a Ph.D. in economics or a related field (candidates must have the Ph.D. degree in hand or have fulfilled all requirements for the degree by the start of the appointment) and a record that demonstrates promise of excellent research and teaching.

Hitotsubashi University is one of Japan’s leading research universities in economics. Its Institute of Economic Research, established in 1940, is dedicated to advancing high-quality research. For more information, please visit our website: https://www.ier.hit-u.ac.jp/English/index.html",,,JAPAN Tokyo,00 - 00 - Default: Any Field,2025-11-30 00:00:00,2025-09-19 00:00:00
2025-02,111476246,"International: Full-Time Academic (Permanent, Tenure Track or Tenured)",Hong Kong University of Science and Technology,School of Business and Management,Economics,"Macroeconomics 
Applied Microeconomics 
All Fields of Economics","Assistant, Associate, or Full Professor","The Department of Economics invites applications for tenure-track position(s) at any rank (Assistant, Associate, or Full) in all fields of Economics. We are particularly interested in candidates with expertise in Macroeconomics and Applied Microeconomics (Labor, Health, Development, Environmental Economics, etc.). Outstanding candidates in other areas are also encouraged to apply. 

HKUST is a world-renowned English-speaking international research university in Asia's most vibrant city. The Department of Economics at HKUST strives to excel in both its research and teaching missions. In 2025, the Economics Department was ranked No. 27 in the world, No. 4 in Asia, and No. 1 in Hong Kong, according to the QS World University Rankings by Subject—Economics & Econometrics.

Salary is highly competitive. The university offers a comprehensive fringe benefit package, including medical/dental care, annual leave, and housing benefits, for eligible appointees. 

Candidates must receive a Ph.D. by August 2026 and must demonstrate the potential to achieve excellence in both research and teaching at the graduate and undergraduate levels.

Please submit your curriculum vitae, recent publications, research papers, and three letters of recommendation by December 1, 2025 at 11:59 PM Eastern Time electronically at:

https://apply.interfolio.com/173729

Inquiries can be addressed to econjob@ust.hk.

",,,HONG KONG,00 - 00 - Default: Any Field,2025-12-01 00:00:00,2025-09-18 00:00:00
2025-02,111476099,US: Other Academic (Visiting or Temporary),Hoover Institution,,,,Hoover Fellow Position 2026,"The Hoover Institution at Stanford University seeks outstanding scholars for positions as a Hoover Fellow. The term of the appointment is five years, with the option to renew for one additional term. This position, based at Stanford, CA, offers a 12-month base salary of $165,000 to $230,000, plus a $20,000 annual housing allowance. This position carries no teaching responsibilities.

Candidates must have a Ph.D. or equivalent degree in a relevant field, such as economics, history, international relations, national security, political science, or public policy, and expect to complete that degree by September 1st, 2026. Hoover Fellows are encouraged to engage with Stanford’s broader research community in their respective fields. The Hoover Institution is a research center at Stanford University, located in the heart of Stanford’s campus.

Application Deadline: November 18, 2025

Apply: https://www.hoover.org/hoover-fellows-program 

For inquiries, contact: hooverfellowship@stanford.edu
","$165,000 to $230,000",,UNITED STATES,00 - 00 - Default: Any Field,2025-11-18 00:00:00,2025-08-26 00:00:00
2025-02,111476100,US: Other Academic (Visiting or Temporary),Hoover Institution,,,,W. Glenn Campbell and Rita Ricardo-Campbell National Fellows ,"The Hoover Institution's Glenn Campbell and Rita Ricardo-Campbell National Fellows Program enables outstanding scholars from colleges, universities, and institutions worldwide to step away from their academic and professional responsibilities for one year to pursue unrestricted, creative research and publication. The fellowships provide an opportunity to complete an original, significant research project, with the expectation of producing a publishable manuscript while in residence at the Hoover Institution at Stanford University in Stanford, California.

Participation in the program begins on September 1, 2026, and ends on August 31, 2027. National Fellows are encouraged to engage in the intellectual life of the Hoover Institution and are expected to deliver at least one presentation on their research to an appropriate group of scholars during their year in residence. Total compensation for full participation ranges from $125,000 to $155,000.

Qualified candidates should hold a Ph.D. degree or its equivalent or should expect to complete the Ph.D. by September 2026. They should have an established publication record or promising pipeline of unpublished works. National Fellows typically resume or begin full-time appointments at highly regarded institutions or universities upon completion of the National Fellows Program.","$125,000 to $155,000",,UNITED STATES,00 - 00 - Default: Any Field,2025-11-18 00:00:00,2025-08-26 00:00:00
2025-02,111475983,Full-Time Nonacademic,Idaho National Laboratory,Energy & Environment Science & Technology,,,Industrial Economist - Energy,"About Us:
Idaho National Laboratory (INL), managed by Battelle Energy Alliance for the U.S. Department of Energy, is a premier laboratory for nuclear energy research and development. INL advances energy innovation, national security, and environmental sustainability through cutting-edge technologies and world-class scientific expertise.

Job Description:
We are seeking an economist with expertise in industrial organization to support energy market research, focusing on financial and risk analysis. The ideal candidate will have a strong analytical background and a passion for energy technologies such as nuclear, bioenergy, and hydropower.

Key Responsibilities:
•	Apply industrial economics to support program goals.
•	Use modeling and simulation across fields like nuclear, chemistry, and energy security.
•	Analyze market structures, competition, and regulatory impacts.
•	Conduct financial and risk assessments.
•	Develop models to forecast market behavior and policy effects.
•	Collaborate with interdisciplinary teams and present findings.

Qualifications:
•	Ph.D. or Master’s in Economics, Finance, or related field with 2+ years’ experience.
•	Strong quantitative skills and publication record.
•	Preferred: experience in energy market modeling, regulatory policy, or industry consulting.
Link to apply: https://inl.taleo.net/careersection/inl_external/jobdetail.ftl?job=23079&lang=en
","($93,204 - $191,076",23079,UNITED STATES Idaho Idaho Falls ,"G - Financial Economics
H - Public Economics
L - Industrial Organization
Z - Other Special Topics",2026-01-31 00:00:00,2025-08-01 00:00:00
2025-02,111476107,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Idaho State University,,Economics  College of Business (2833),,Assistant Professor,"The Department of Economics & Finance in the College of Business at Idaho State University invites applications for a full-time tenure-track Assistant or Associate Professor of Economics in the field econometrics and/or data analytics beginning August 2026.

The successful candidate will be responsible for teaching undergraduate and graduate courses in face-to-face or online modes as needed by the department, conduct field-related research leading to publications in peer-reviewed scholarly journals, and engage in service-related activities. Teaching load requirements are three courses in each Spring and Fall semester.

The successful candidate will have earned, or be close to completing, a doctorate in Economics (PhD) or related field (i.e. Agricultural Economics) by the time of hire, with an emphasis in econometrics and/or data analytics. Candidates seeking to be hired at the rank of Associate Professor must have a minimum of 6 years of experience at the Assistant Professor rank, evidence of teaching excellence, and evidence of scholarly achievement.

To apply, please visit: https://apptrkr.com/6468526",,6468526,UNITED STATES Idaho Pocatello,C1 - Econometric and Statistical Methods and Methodology:  General,2026-08-21 00:00:00,2025-08-28 00:00:00
2025-02,111476230,"International: Full-Time Academic (Permanent, Tenure Track or Tenured)",Imperial College London,,Finance,"Finance
Assistant
Associate 
Full Professor",Professor (Assistant/Associate/Full) of Finance,"Imperial College Business School is seeking qualified applicants for faculty positions in its Finance Department at the rank of Assistant, Associate and Full Professor. Some of the initial screening will be conducted, via Zoom, during December 2025.

Applicants for positions of Assistant Professors should have the potential to publish innovative, rigorous, and relevant contributions in top academic journals. Candidates for an Associate or Full Professor position should demonstrate considerable excellence in research.

You will contribute to the academic mission of Imperial College London to deliver world class scholarship, education and research. In addition, you will be required to contribute to administration within the Department.

In order to be successful in this role, you have:
•	A PhD in Finance or related field or equivalent
•	Have a National/ International reputation (commensurate with grade)
•	Track record in attracting high levels of research funding (commensurate with grade)
•	Extensive experience in leading the design of research programmes

Applicants for positions of Assistant Professors should have the potential to publish innovative, rigorous, and relevant contributions in top academic journals. Candidates for an Associate or Full Professor position should demonstrate considerable excellence in research.

A full list of responsibilities and essential requirements can be seen in the Job Description.

What we can offer you:
•	An opportunity to work at a world-leading institution
•	Our Total Remuneration Package (TRP) includes our sector-leading package of pay, pensions and recognition as well as our range of benefits.
•	We have many initiatives to support staff in their personal life (flexible working, private health insurance, staff networks, support for staff, childcare and carers 
•	Benefits to support an active lifestyle and health initiatives, such as the cycle to work scheme, and access to onsite leisure facilities. 

Further information
Imperial College is committed to equality of opportunity, to eliminating discrimination and to creating an inclusive working environment. We particularly welcome applicants that will increase diversity within the Department of Finance.

Your application will need to include a CV and a Job Market paper. Your CV must be uploaded in the field marked as ""CV"". The Job Market paper must be clearly named and can be uploaded in the field marked as “other”.

For Assistant Professor entry level, we will also require 3 reference letters to be emailed by candidate’s referees to financerecruitment@imperial.ac.uk

Closing date: 15 November 2025 (midnight GMT)
",Internationally Competitive,782735,UNITED KINGDOM London London,G0 - General,2025-11-15 00:00:00,2025-09-17 00:00:00
2025-02,111476190,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Indiana University-Bloomington,O’Neill School of Public and Environmental Affairs,,"Public Economics
Economics
Public Policy",Full-Time Tenure Track Position in Public Economics,"O’neill School of Public and Environmental Affairs (O’neill)
Indiana University-Bloomington Campus

Full-Time Tenure Track Position in Public Economics

The O’Neill School of Public and Environmental Affairs (O’Neill) at Indiana University-Bloomington invites applications for a tenure-track academic appointment in the general field of public economics at the rank of Assistant Professor. Preferred start date is August 1, 2026.

 Candidates must have completed (or expect to complete before appointment) a Ph.D. in economics, public policy, or a related field. Applicants are expected to develop a nationally recognized program of research, seek external funding, advise doctoral students, mentor master's and undergraduate students, and teach courses related to public finance (e.g. public budgeting, taxation, cost-benefit analysis, public financial management) at graduate and undergraduate levels to students who come from many different backgrounds. 

Applicants should demonstrate an interest in contributing to O’Neill’s research programs, curricular offerings, and service portfolio. To ensure consideration, application materials must be received by October 15, 2025. However, the search may continue until the position is filled. Please submit via the online system (https://indiana.peopleadmin.com/postings/30444) the following materials: 1) a letter of application describing research interests and teaching philosophy, 2) curriculum vita, 3) two samples of research, and 4) contact information for three references. For more information, please contact the search committee chair: Dr. Denvil Duncan (duncande@iu.edu).

Indiana University is an equal opportunity employer and provider of ADA services and prohibits discrimination in hiring. See Indiana University Notice of Non-Discrimination here, which includes contact information (https://policies.iu.edu/policies/ua-01-non-discrimination/index.html)

 ",,231067,UNITED STATES Indiana Bloomington,"00 - 00 - Default: Any Field
H0 - General
A1 - General Economics",2026-01-31 00:00:00,2025-09-12 00:00:00
2025-02,111476053,Full-Time Nonacademic,Institute for Defense Analyses,Cost Analysis and Research Division,Systems and Analyses Center,,Research Analyst - Economist,"The Institute for Defense Analyses (IDA) is an independent, non-profit, federally-funded research and development center that provides objective analyses to the Department of Defense and other federal government agencies. Economists at IDA support senior defense leaders by applying economic theory and analytic methods to issues of National Security policy and resource management. As needed, we apply proven tools to new problems and data, develop new models, and generate new theory.

Qualifications:

Ph.D. in Economics or related discipline
Demonstrated research excellence and a strong interest in applied research
Demonstrated superior skills in quantitative, econometric, statistical, or computational methods
US Citizenship is required
Ability to obtain and maintain a security clearance is required.
We will consider job market candidates preparing to graduate, recent graduates, and mid-career individuals.

Application Process
Interested candidates must follow a 2-step process and apply on-line to Both of the following:

1) Apply here by uploading a CV and cover letter

https://phh.tbe.taleo.net/phh01/ats/careers/v2/viewRequisition?org=INSTITUTEDA&cws=39&rid=3372

And

2) Submit a CV, three letters of recommendation or three professional phone references, unofficial transcripts, and your job market paper (or equivalent items) with your application to JOE, https://www.aeaweb.org/joe/listing.php?JOE_ID=2023-02_111476053

We will be conducting first-round interviews virtually.",,,UNITED STATES Virginia Alexandria,Z0 - General,2026-01-31 00:00:00,2025-08-15 00:00:00
2025-02,111476240,Full-Time Nonacademic,Inter-American Development Bank,,,"Poverty Dynamics
Economics ",Economics Lead Specialist,"About this position

The IDB Group’s new Institutional Strategy renews its commitment to eradicating extreme poverty and reducing overall poverty across the region. To support this strategic priority, the IDB Group (IDBG) has established the Poverty Group (PG), a dedicated team tasked with advancing these efforts. The PG will lead the development and implementation of a cutting-edge applied research agenda focused on poverty dynamics and vulnerability. This research will inform the IDBG’s policy advisory services and operational work related to poverty reduction. In addition, the PG will design and promote state-of-the-art tools and methodologies to enhance poverty analysis and guide targeted interventions throughout the region. Collaboration is central to the PG’s mission. The group will work in partnership with other organizations to share data, resources, and knowledge in pursuit of its mandate. While housed within the IDB’s Social Sector Department, the PG operates across IDB business units to ensure a coordinated and impactful approach. The Lead Economist will play a pivotal leadership role within the PG. In close collaboration with the Social Sector Economic Advisor, the Lead Economist will oversee the planning and execution of the PG’s research and analytical activities. This includes efforts to strengthen the IDB’s policy advisory services on poverty and vulnerability, improve poverty targeting and measurement in projects across sectors, and ensure alignment with the IDBG’s new Institutional Strategy.
What you’ll do

    Lead the development and execution of a cutting-edge applied research agenda on poverty and vulnerability in the region, aimed at informing the IDB Group’s policy advisory services and operational work on poverty reduction.
    Oversee the dissemination of research findings from the Poverty Group’s agenda to internal and external stakeholders.
    Design and adapt tools and methodologies—such as poverty maps and incidence analysis instruments—to assess the poverty status of potential beneficiaries of IDB-financed projects.
    Develop and deliver training programs for IDB teams on the use of poverty and vulnerability measurement tools to strengthen institutional capacity.
    Advance the development of guidelines for assessing poverty targeting in IDB projects, enhancing frameworks applicable across diverse sectors and project types.
    Collaborate on data collection and systematization efforts to support evidence-based decision-making.
    Establish and maintain strategic partnerships with organizations and researchers working on poverty and vulnerability issues to foster collaboration and knowledge exchange.
    Represent the Poverty Group’s work in high-level meetings and strategic dialogues with IDB member countries, international financial institutions, development organizations, think tanks, academia, and civil society.
    Effectively manage the Poverty Group’s team and resources, ensuring alignment with strategic objectives and operational efficiency.

What you'll need

    Education: PhD in economics, statistics, public policy or any other related field with a strong quantitative orientation.  
    Experience: At least six years of relevant and substantive experience in international development, with a strong focus on poverty and vulnerability research and policy advisory services—preferably within the Latin America and Caribbean region. Demonstrated track record of publications related to poverty and vulnerability analysis, reflecting deep expertise and thought leadership in the field. Proficiency in statistical software packages such as Stata and R is required.
    Languages:  Proficiency in Spanish and English, spoken and written, is required. Additional knowledge of French and Portuguese is preferable.

Requirements

    Citizenship: You are a citizen of one of our 48-member countries. We may offer assistance with relocation and visa applications for you and your eligible dependents. 
    Consanguinity: You have no family members (up to the fourth degree of consanguinity and second degree of affinity, including spouse) working at the IDB, IDB Invest, or IDB Lab. 

Type of contract and duration

    International: International staff contract, 36 months initially, renewable upon mutual agreement.

What we offer

The IDB group provides benefits that respond to the different needs and moments of an employee's life. These benefits include:
 

    A competitive compensation package, including an annual base salary expressed on a net-of-tax basis.
    Leaves and vacations: 24 days of paid time off + 8 personal days + sick leave + gender-neutral parental leave.
    Health Insurance: IDB Group provides employees and eligible dependents with a robust medical benefits program that covers medical, dental, vision, preventive care, and prescription drugs.
    Pension plan: defined benefit pension plan that provides financial security and support employees in planning for their future.
    We offer assistance with relocation and visa applications for you and your family when it applies.
    Hybrid and flexible work schedules.
    Health and well-being: Access to our Health Services Center that provides preventive care and health education for employees.
    Development support: We offer tools to boost your professional profile, such as mentoring, 1:1 professional counseling, training and learning opportunities, language classes, mobility options, among others.
    Other perks: Lactation Room, Daycare Center, Gym, Bike Racks, Parking, Spouse Career Program, and others.

Our culture

At the IDB, we work so everyone brings their best and authentic selves to work while finding their purpose. Our people consistently strive for excellence, and we recognize and celebrate the impact of their contributions.

In our efforts to drive innovation, we intentionally include all voices, cultivate a sense of belonging and champion fairness. We welcome individuals from underrepresented groups to join us and share their unique perspectives.

We ensure that individuals with disabilities are provided reasonable accommodations to participate in the job interview process. If you require an accommodation to complete this application, please email us at accommodations@iadb.org.

Our Human Resources Team reviews carefully every application.",,,UNITED STATES District of Columbia Washington D.C.,"Z0 - General
C0 - General",2025-09-25 00:00:00,2025-09-18 00:00:00
2025-02,111476144,Full-Time Nonacademic,Inter-American Development Bank,,Research Department,"Research and Policy Economists

Inter-American Development Bank",Research and Policy Economists,"Research and Policy Economists

The Research Department of the Inter-American Development Bank (IDB) is looking for experienced and policy-oriented Macroeconomists to join the Research Department. This role is ideal for a candidate passionate about addressing the development challenges of Latin America and the Caribbean through rigorous economic analysis and strategic policy engagement. 

The candidate should possess:(1) strong technical skills; (2) a record of high-quality, original research in peer-reviewed journals; (3) the ability to communicate with a wide range of potential audiences; and (4) an interest in policy issues in the region.
The successful candidate will contribute to the Bank’s mission by producing high-impact research, advising on macroeconomic policy and topical macroeconomic developments important for the region, and engaging with stakeholders across the region to promote evidence-based decision-making.

Individuals who are citizens of one of our 48-member countries are eligible to apply. Interested candidates must apply through the IDB careers Webpage: https://jobs.iadb.org/go/Staff-Jobs/9638400/. Please note that there are two separate postings for Economists: one for Research and Policy Principal/Lead Economist (senior position) and one for Research Economist Senior/Lead Specialist (senior and mid-level position).

At the time of application, candidates will need to upload a cover letter, CV, and a recent paper. The deadline for applying is September 7, 2025. 

The IDB Group offers a comprehensive benefits package including a competitive net-of-tax salary, generous leave policies, and robust health insurance. Employees also benefit from a defined pension plan, relocation and visa assistance when applicable, and flexible, hybrid work arrangements to promote work-life balance.

We foster an inclusive and purpose-driven workplace where individuals are encouraged to bring their authentic selves and strive for excellence. We celebrate the impact of our people’s contributions and promote innovation by embracing diverse voices, cultivating belonging, and championing fairness. We actively welcome individuals from underrepresented groups and ensure reasonable accommodation is provided for candidates with disabilities during the application process. If you require an accommodation to complete this application, please email us at accommodations@iadb.org.

Closing Date: September 7, 2025.",,,"UNITED STATES District of Columbia Washington, DC","00 - 00 - Default: Any Field
E - Macroeconomics and Monetary Economics",2025-09-07 00:00:00,2025-09-02 00:00:00
2025-02,111475956,Full-Time Nonacademic,Japan Fair Trade Commission,,,"microeconomics
industrial organization
econometrics
applied statistics
competition
antitrust
Japan
economist
anti-monopoly act",Government Official,"Qualification requirement

(1) Having experience of research regarding economics (theory or practice) at universities or other research institutions (having knowledge of industrial organization, econometrics and/or applied statistics is also desirable.), or

(2) Having experience of survey, research and data analysis on economy and/or industry in private corporations including think-tank and consulting firm.

 Treatment differs depending on whether having Ph.D. or not.

 Occupation

As a deputy director or assistant director, to perform quantitative and/or qualitative economic analysis for the JFTC’s enforcement, market survey, policy-making, etc.

Selection process

Candidates must submit the following documents by mail.

1. Curriculum vitae

2. Composition stating the reason for application and achievement of study or research in university

3. Catalog of research achievements

4. Summary of main thesis

Selection will be conducted by document screening and interview. Only candidate who has passed the document screening will be announced by the JFTC and take an interview. 

Other conditions

Appointments are for a 1 to 3-years term. (Contract renewal possible)

Candidates must have Japanese nationality.

After December 2025, the government building is scheduled to be relocated to Toranomon Arcea Tower, 2-2-3 Toranomon, Minato-ku, Tokyo.

For more details, please refer to the link below.

https://www.jftc.go.jp/soshiki/recruit/specialty.html",,,JAPAN Tokyo Chiyoda-ku,L4 - Antitrust Issues and Policies,2026-01-31 00:00:00,2025-08-01 00:00:00
2025-02,111476164,Full-Time Nonacademic,"Joint Committee on Taxation, United States Congress",,,"Public Economics
Federal Taxation
Economic Modeling and Policy Analysis
",Quantitative Economist,"The Joint Committee on Taxation (“JCT”) invites economists to submit applications to join its staff of Quantitative Economists.

As a nonpartisan, joint committee of the United States Congress, JCT operates with an experienced professional staff of economists, attorneys, and accountants, who assist Members of the majority and minority parties with tax legislation in both the House of Representatives and Senate. The JCT staff is closely involved with every aspect of the tax legislative process, including assisting Congressional tax-writing committees and Members of Congress with development and analysis of legislative proposals, preparing official revenue estimates of all tax legislation considered by the Congress, drafting background reports for tax-related bills, and investigating various aspects of the Federal tax system. For more information on JCT’s work, see www.jct.gov.

Quantitative Economists at JCT include microeconomists, who develop economic models and apply econometric methods to analyze policy proposals at all stages of Congressional consideration, and macroeconomists, who use large quantitative general equilibrium models to analyze major tax legislation. Both roles work in a collegial environment on informal teams with other economists, tax attorneys, and accountants to contribute to the legislative process through data acquisition and analysis, model development and improvement, original research, and technical and nontechnical communication. Quantitative Economists’ work is routinely reflected in tax policies being considered by Congress.

JCT currently seeks applied microeconomists. Candidates must be prepared to conduct research, develop expertise in specific tax issues, and bring appropriate econometric techniques to large and small datasets to analyze and report the economic and administrative implications of proposed changes in Federal tax laws. Strong quantitative skills and an interest in policy design and implementation are valuable. Successful candidates will demonstrate an eagerness to impartially inform policymaking and an ability to meet deadlines in a consequential setting.

These are engaging and rewarding positions for economists interested in Federal policy and policy analysis. The breadth of current and potential Federal tax policy requires Quantitative Economists to work in diverse issue areas, from health, employment, and retirement, to business investment, energy, and the environment. Independent research spurred by economists’ Congressional work regularly appears in top academic publications.

Candidates must meet citizenship requirements for Federal employment (generally, have U.S. citizenship or have legal residency that permits timely acquisition of citizenship) and have a Ph.D. or equivalent, with training in public finance preferred. Salary is competitive, commensurate with experience, and complemented with excellent workplace benefits.
",Competitive,,UNITED STATES District of Columbia Washington,"C - Mathematical and Quantitative Methods
D - Microeconomics
H - Public Economics",2025-11-24 00:00:00,2025-09-10 00:00:00
